Domain,Have_IP,URL_Length,Redirection,https_Domain,TinyURL,Prefix/Suffix,Label
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
gov.uk,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,1,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,1,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
gov.uk,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,1,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,1,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,1,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,1,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,1,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,1,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,1,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,1,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,1,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,1,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
gov.uk,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,1,0,0
,0,1,0,0,1,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
,0,1,0,0,0,0,0
